title,details_link,company_name,company_logo,location,deadline,experience
AGM / Manager - Finance & Accounts,https://jobs.bdjobs.com/jobdetails/?id=1386541&ln=1&JobKeyword=Python Developer,Jams Group,//corporate.bdjobs.com/logos/35869_3.png,Dhaka,31 Jul 2025,At least 5 year(s)
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laravel Developer / React Developer,https://jobs.bdjobs.com/jobdetails/?id=1381484&ln=1&JobKeyword=Python Developer,Muktodhara Technology Limited,//corporate.bdjobs.com/logos/164809_0.png,Anywhere in Bangladesh,31 Jul 2025,At least 2 year(s)
Executive / Senior-Executive - Sales & Marketing,https://jobs.bdjobs.com/jobdetails/?id=1377407&ln=1&JobKeyword=Python Developer,Rimjhim Land Developer & Housing Ltd.,//corporate.bdjobs.com/logos/150512_0.png,Dhaka,20 Jul 2025,2 to 4 year(s)
Full Stack Developer (React / Python / AWS / DevOps),https://jobs.bdjobs.com/jobdetails/?id=1386076&ln=1&JobKeyword=Python Developer,Stackifya,N/A,Adabor,26 Jul 2025,2 to 5 year(s)
Python AI Software Developer,https://jobs.bdjobs.com/jobdetails/?id=1385548&ln=1&JobKeyword=Python Developer,Regnum,N/A,Tejgaon Industrial Area,14 Aug 2025,At least 2 year(s)
Senior Software Engineer (Python),https://jobs.bdjobs.com/jobdetails/?id=1384122&ln=1&JobKeyword=Python Developer,BDTASK,//corporate.bdjobs.com/logos/45506_1.png,Khilkhet,8 Aug 2025,At least 3 year(s)
Senior Executive (Sales & Marketing),https://jobs.bdjobs.com/jobdetails/?id=1385506&ln=1&JobKeyword=Python Developer,Star Unity Development Ltd (SUDL),N/A,South Keraniganj,14 Aug 2025,At least 5 year(s)
Account Officer,https://jobs.bdjobs.com/jobdetails/?id=1384500&ln=1&JobKeyword=Python Developer,CONCRETE CONSTRUCTION,//corporate.bdjobs.com/logos/171169_0.png,Narayanganj,11 Aug 2025,At least 1 year(s)
Manager Contract Management,https://jobs.bdjobs.com/jobdetails/?id=1384042&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_3.png,Dhanmondi 27,8 Aug 2025,5 to 8 year(s)
Assistant Manager (Quality Assurance),https://jobs.bdjobs.com/jobdetails/?id=1383411&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_0.jpg,Dhanmondi 27,7 Aug 2025,5 to 7 year(s)
Assistant General Manager,https://jobs.bdjobs.com/jobdetails/?id=1383043&ln=1&JobKeyword=Python Developer,Suntech Builders Limited,N/A,Dhaka,7 Aug 2025,5 to 12 year(s)
Project Engineer / Site Engineer (Civil),https://jobs.bdjobs.com/jobdetails/?id=1382208&ln=1&JobKeyword=Python Developer,Kunjo Developers Ltd.,N/A,"Dhaka, Uttara",31 Jul 2025,At least 7 year(s)
Marketing Officer,https://jobs.bdjobs.com/jobdetails/?id=1380832&ln=1&JobKeyword=Python Developer,Green Architect,N/A,"Bogura, Chapainawabganj, Joypurhat, Kushtia, Meherpur, Naogaon, Natore, Pabna, Rajshahi",31 Jul 2025,At least 1 year(s)
Civil Engineer (Diploma)-Tender & Estimation Specialist,https://jobs.bdjobs.com/jobdetails/?id=1380441&ln=1&JobKeyword=Python Developer,Max Development & Construction Ltd.,N/A,Banani,31 Jul 2025,At least 5 year(s)
সিকিউরিটি গার্ড,https://jobs.bdjobs.com/jobdetails/?id=1380798&ln=1&JobKeyword=Python Developer,General Properties Ltd,N/A,Uttara Sector 13,31 Jul 2025,At least 1 year(s)
Assistant Manager Sales/ Deputy Manager Sales,https://jobs.bdjobs.com/jobdetails/?id=1379336&ln=1&JobKeyword=Python Developer,Cambric Holdings Ltd,//corporate.bdjobs.com/logos/98939_1.png,"Dhaka, Mohammadpur",26 Jul 2025,5 to 10 year(s)
Architect/ Sr. Architect,https://jobs.bdjobs.com/jobdetails/?id=1379293&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_3.png,Dhanmondi 27,26 Jul 2025,2 to 6 year(s)
"IT Operations Coordinator - Hardware, Network & System Support",https://jobs.bdjobs.com/jobdetails/?id=1379285&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_3.png,Dhanmondi 27,26 Jul 2025,2 to 5 year(s)
Civil Engineer (For Interior),https://jobs.bdjobs.com/jobdetails/?id=1378949&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_0.jpg,Dhanmondi 27,25 Jul 2025,1 to 5 year(s)
Jr. Architect/Draftsman,https://jobs.bdjobs.com/jobdetails/?id=1378891&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_0.jpg,Dhanmondi 27,25 Jul 2025,3 to 5 year(s)
Architect (3D Visualizer),https://jobs.bdjobs.com/jobdetails/?id=1378398&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_3.png,Dhanmondi 27,24 Jul 2025,2 to 6 year(s)
Accountant,https://jobs.bdjobs.com/jobdetails/?id=1378262&ln=1&JobKeyword=Python Developer,A Reputed Property Management Company,N/A,Chattogram,23 Jul 2025,At least 3 year(s)
Plumber cum Electrician,https://jobs.bdjobs.com/jobdetails/?id=1378212&ln=1&JobKeyword=Python Developer,K.T.C Property Management,N/A,Chattogram,23 Jul 2025,Na
Sales & Marketing Executive(Real Estate/Developer)),https://jobs.bdjobs.com/jobdetails/?id=1377313&ln=1&JobKeyword=Python Developer,PARIJA PROPERTIES LTD.,N/A,Dhaka,20 Jul 2025,2 to 3 year(s)
Principal Architect/Leading Architect,https://jobs.bdjobs.com/jobdetails/?id=1377822&ln=1&JobKeyword=Python Developer,Zubion Development Solutions Limited ( ZDSL),//corporate.bdjobs.com/logos/97207_3.png,Dhanmondi 27,22 Jul 2025,8 to 10 year(s)
Front-End Developer,https://jobs.bdjobs.com/jobdetails/?id=1386317&ln=1&JobKeyword=Python Developer,Verv,//corporate.bdjobs.com/logos/174450_0.png,Bangladesh,31 Jul 2025,At least 1 year(s)
"Fashion Designer & Developer - Activewear, Athleisure & Streetwear",https://jobs.bdjobs.com/jobdetails/?id=1386931&ln=1&JobKeyword=Python Developer,A Renowned Buying House,N/A,Dhaka,17 Aug 2025,3 to 7 year(s)
Senior Mobile Application Developer (Android & iOS),https://jobs.bdjobs.com/jobdetails/?id=1386822&ln=1&JobKeyword=Python Developer,Parallaxlogic Infotech,N/A,Gulshan,22 Jul 2025,5 to 10 year(s)
Software Programmer/Developer,https://jobs.bdjobs.com/jobdetails/?id=1386501&ln=1&JobKeyword=Python Developer,Spectrum Engineering Consortium Ltd.,N/A,Kawran Bazar,14 Aug 2025,Na
"Front-End Developer (React/Next.js, Tailwind CSS, TypeScript)",https://jobs.bdjobs.com/jobdetails/?id=1386607&ln=1&JobKeyword=Python Developer,Manshir Technologies,N/A,Segunbagicha,27 Jul 2025,At least 3 year(s)
Remote Full Stack Web Developer / AI Engineer,https://jobs.bdjobs.com/jobdetails/?id=1385980&ln=1&JobKeyword=Python Developer,PWF Australia,N/A,Dhaka,31 Jul 2025,At least 3 year(s)
Laravel & Vue.js Developer,https://jobs.bdjobs.com/jobdetails/?id=1386203&ln=1&JobKeyword=Python Developer,Revinr IT Ltd,N/A,Dhaka,26 Jul 2025,2 to 6 year(s)
District Manager / District Field Developer,https://jobs.bdjobs.com/jobdetails/?id=1381743&ln=1&JobKeyword=Python Developer,JBM Agrovet,N/A,Anywhere in Bangladesh,15 Aug 2025,3 to 5 year(s)
Designer / Developer,https://jobs.bdjobs.com/jobdetails/?id=1386064&ln=1&JobKeyword=Python Developer,100% Export Oriented Garments Company.,N/A,Kaliakair,10 Aug 2025,0 to 3 year(s)
Mobile App Developer (Flutter),https://jobs.bdjobs.com/jobdetails/?id=1386084&ln=1&JobKeyword=Python Developer,NEC Money Transfer Limited,N/A,Dhaka,15 Aug 2025,1 to 3 year(s)
Lead Software Developer,https://jobs.bdjobs.com/jobdetails/?id=1386073&ln=1&JobKeyword=Python Developer,NEC Money Transfer Limited,N/A,Dhaka,15 Aug 2025,2 to 5 year(s)
Junior Laravel Developer,https://jobs.bdjobs.com/jobdetails/?id=1386037&ln=1&JobKeyword=Python Developer,Pranon Express Limited,//corporate.bdjobs.com/logos/134903_0.png,Dhaka,31 Jul 2025,Na
Fabric Developer (Woven),https://jobs.bdjobs.com/jobdetails/?id=1385563&ln=1&JobKeyword=Python Developer,Buying House,N/A,Anywhere in Bangladesh,14 Aug 2025,3 to 7 year(s)
Product Developer (Woven),https://jobs.bdjobs.com/jobdetails/?id=1385554&ln=1&JobKeyword=Python Developer,Buying House,N/A,Anywhere in Bangladesh,14 Aug 2025,3 to 6 year(s)
Senior Product Developer (Woven),https://jobs.bdjobs.com/jobdetails/?id=1385551&ln=1&JobKeyword=Python Developer,Buying House,N/A,Anywhere in Bangladesh,14 Aug 2025,5 to 8 year(s)
Mobile App Developer - Intern,https://jobs.bdjobs.com/jobdetails/?id=1385943&ln=1&JobKeyword=Python Developer,DNS Group,N/A,Dhaka,31 Jul 2025,Na
Web Developer,https://jobs.bdjobs.com/jobdetails/?id=1385817&ln=1&JobKeyword=Python Developer,Planet Education Networks Limited,//corporate.bdjobs.com/logos/158794_1.png,Chakbazar Chittagong,1 Aug 2025,At least 1 year(s)
"Backend Developer (PHP/Laravel, React, Craft CMS)",https://jobs.bdjobs.com/jobdetails/?id=1385640&ln=1&JobKeyword=Python Developer,Stackifya,N/A,Adabor,25 Jul 2025,2 to 6 year(s)
Sr. Software Engineer / Software Engineer (Frontend Developer - Angular),https://jobs.bdjobs.com/jobdetails/?id=1384913&ln=1&JobKeyword=Python Developer,Daffodil International University,//corporate.bdjobs.com/logos/35300_0.png,Savar,12 Aug 2025,At least 5 year(s)
Junior Frontend Developer,https://jobs.bdjobs.com/jobdetails/?id=1384534&ln=1&JobKeyword=Python Developer,XentriLab,N/A,Niketan,31 Jul 2025,2 to 3 year(s)
"Blockchain Developer (Contractual, Remote)",https://jobs.bdjobs.com/jobdetails/?id=1385338&ln=1&JobKeyword=Python Developer,Dream71 Bangladesh Limited (Dhaka),N/A,Dhaka,31 Jul 2025,Na
Agentic AI Developer,https://jobs.bdjobs.com/jobdetails/?id=1385092&ln=1&JobKeyword=Python Developer,Ray White ltd,//corporate.bdjobs.com/logos/123402_1.jpg,Dhaka,20 Jul 2025,1 to 2 year(s)
Senior Shopify Developer,https://jobs.bdjobs.com/jobdetails/?id=1385020&ln=1&JobKeyword=Python Developer,Stackifya,N/A,Adabor,24 Jul 2025,4 to 6 year(s)
Web Developer (Software Engineer - .Net),https://jobs.bdjobs.com/jobdetails/?id=1385019&ln=1&JobKeyword=Python Developer,Access InfoTech Ltd.,N/A,Dhaka,30 Jul 2025,At least 1 year(s)
Full Stack Developer (ASP.Net),https://jobs.bdjobs.com/jobdetails/?id=1384850&ln=1&JobKeyword=Python Developer,Solution World Limited,N/A,Dhaka,12 Aug 2025,At least 5 year(s)
Wordpress Developer,https://jobs.bdjobs.com/jobdetails/?id=1384659&ln=1&JobKeyword=Python Developer,Segunbagicha Incometax Consultancy Limited,N/A,Purana Paltan,23 Jul 2025,2 to 3 year(s)
